step,actor_loss
0,-0.6471443176269531
1,-0.6691049337387085
2,-0.7027333378791809
3,-0.7318294644355774
4,-0.739806592464447
5,-0.7770217061042786
6,-0.7873762845993042
7,-0.8105238676071167
8,-0.8237658739089966
9,-0.8534480333328247
10,-0.887151300907135
11,-0.8816784620285034
12,-0.9117090702056885
13,-0.9348991513252258
14,-0.9420457482337952
15,-0.9767348766326904
16,-0.9983646273612976
17,-1.0104272365570068
18,-1.043053150177002
19,-1.054173469543457
20,-1.108386754989624
21,-1.096484899520874
22,-1.1159253120422363
23,-1.152421236038208
24,-1.153728723526001
25,-1.1931064128875732
26,-1.2226948738098145
27,-1.243564248085022
28,-1.276031732559204
29,-1.2823033332824707
30,-1.346962571144104
31,-1.3737132549285889
32,-1.410111665725708
33,-1.4326965808868408
34,-1.4548516273498535
35,-1.4401978254318237
36,-1.4764412641525269
37,-1.5131053924560547
38,-1.5395572185516357
39,-1.5931267738342285
40,-1.6193420886993408
41,-1.6671985387802124
42,-1.6396170854568481
43,-1.6831008195877075
44,-1.696587085723877
45,-1.744588851928711
46,-1.7902140617370605
47,-1.7793214321136475
48,-1.8565435409545898
49,-1.8970000743865967
50,-1.8899520635604858
51,-1.9211784601211548
52,-1.9019895792007446
53,-2.0203802585601807
54,-2.066617727279663
55,-2.013930559158325
56,-2.0982089042663574
57,-2.029698371887207
58,-2.104687452316284
59,-2.12958025932312
60,-2.147536039352417
61,-2.185265064239502
62,-2.231863021850586
63,-2.2517433166503906
64,-2.196249485015869
65,-2.21069073677063
66,-2.3343663215637207
67,-2.1936984062194824
68,-2.198146104812622
69,-2.2384798526763916
70,-2.294511079788208
71,-2.327529191970825
72,-2.3039121627807617
73,-2.275618553161621
74,-2.271970510482788
75,-2.3550562858581543
76,-2.2494449615478516
77,-2.242861270904541
78,-2.2816860675811768
79,-2.361290454864502
80,-2.2997446060180664
81,-2.2787723541259766
82,-2.3303472995758057
83,-2.224736213684082
84,-2.3117408752441406
85,-2.3136723041534424
86,-2.332019567489624
87,-2.2107183933258057
88,-2.344994068145752
89,-2.3028368949890137
90,-2.3186841011047363
91,-2.283484935760498
92,-2.3575334548950195
93,-2.3277273178100586
94,-2.2600581645965576
95,-2.341411828994751
96,-2.321664810180664
97,-2.2869057655334473
98,-2.236996650695801
99,-2.3638293743133545
100,-2.3199303150177
101,-2.3474490642547607
102,-2.32173490524292
103,-2.3022520542144775
104,-2.3567254543304443
105,-2.3936517238616943
106,-2.3780264854431152
107,-2.3645882606506348
108,-2.3390910625457764
109,-2.3815572261810303
110,-2.4405465126037598
111,-2.4164133071899414
112,-2.4103188514709473
113,-2.324580669403076
114,-2.408717155456543
115,-2.406527519226074
116,-2.4455363750457764
117,-2.481410503387451
118,-2.39909029006958
119,-2.3987882137298584
120,-2.4686291217803955
121,-2.5379765033721924
122,-2.49904465675354
123,-2.504178524017334
124,-2.448484182357788
125,-2.5170061588287354
